transaction_id,order_date,customer_id,item_name,price,quantity
1,2026-08-01,C101,Latte,4.50,2
2,08/01/2026,C102,  espresso  ,3.00,1
3,2026/08/01,C103,CAPPUCCINO,4.75,1
4,"Aug 2, 2026",C104,Croissant,3.50,3
5,2026-08-02,,latte,4.50,1
6,2026-08-02,C106,Muffin,,2
7,2026-08-03,C107,Iced Coffee,4.00,1
8,08-03-2026,C108,  LATTE  ,4.50,2
9,2026/08/03,C109,,3.00,1
10,2026-08-04,C110,Espresso,3.00,2
11,"Aug 4, 2026",C111,Cappuccino,4.75,
12,2026-08-04,C112,croissant  ,3.50,2
13,08/05/2026,C113,Iced Coffee,4.00,3
14,2026-08-05,C114,Muffin,3.25,1
15,2026-08-05,C115,Latte,4.50,1
